id,bom_number,part_number,revision_number,quantity,uom,valid_from,valid_to,plate_id,plate_txt,serial_number,change_number,change_number_to,item,item_id
887,233829,JG231210,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,231,231
888,233829,JG231404,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,232,232
889,233829,JG231405,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,233,233
890,233829,JG231600,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,234,234
891,233829,JG231601,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,235,235
892,233829,JG232601,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,236,236
893,233829,JG232603,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,237,237
894,233829,JG232604,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,238,238
895,233829,JG233001,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,239,239
896,233829,JG233049,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,240,240
897,233829,JG233050,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,241,241
898,233829,JG233052,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,242,242
899,233829,JG233053,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,243,243
900,233829,JG233054,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,244,244
901,233829,JG233055,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,245,245
902,233829,JG233080,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,246,246
903,233829,JG351202,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,247,247
904,233829,JG351400,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,248,248
905,233829,JG351402,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,249,249
906,233829,JG401000,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,250,250
907,233829,JG401001,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,251,251
908,233829,JG401002,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,252,252
909,233829,JG401003,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,253,253
910,233829,JG401004,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,254,254
911,233829,JG401005,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,255,255
912,233829,JG401006,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,256,256
913,233829,JG401402,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,257,257
914,233829,JG401406,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,258,258
915,233829,JG401411,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,259,259
916,233829,JG401601,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,260,260
917,233829,JG401801,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,261,261
918,233829,JG402003,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,262,262
919,233829,JG402005,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,263,263
920,233829,JG402235,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,264,264
921,233829,JG402236,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,265,265
922,233829,JG402237,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,266,266
923,233829,JG402238,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,267,267
924,233829,JG402405,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,268,268
