UCN_NO,CHASSIS,SERVICE_TYPE,VEH_DIS_DT,WERKS,MATNR,KUNNR,PRODUCT_TYPE,KMS_FROM,KMS_TO,DAYS_LIMIT_FROM,DAYS_LIMIT_TO,CREATED_ON,CREATED_AT,STATUS,REMARKS
EX50177,MD2A18AZ3EWA09452,1,18.05.2014,WA01,00DZ123W,11331,3700DZFS,1,2000,1,60,23.05.2014,7:19:08,,Data is not updated into GladMinds Server. Please contact GladMinds team
EX51541,MD2A11CZ2EWM25445,2,20.05.2014,WA01,00DH155J,10753,3700DHFS,1,8000,1,260,23.05.2014,7:19:34,,Data is not updated into GladMinds Server. Please contact GladMinds team
EX51822,MD2A14AZ9EWB07300,1,20.05.2014,WA01,00PA093C,11888,3700PAFS,1,2000,1,60,23.05.2014,7:19:39,,Data is not updated into GladMinds Server. Please contact GladMinds team
EX52279,MD2A57AZ3EWB12711,3,20.05.2014,WA01,00PA135V,11206,3703PAFS,1,15000,1,260,23.05.2014,7:19:45,,Data is not updated into GladMinds Server. Please contact GladMinds team
EX71143,MD2A11CZ1DCC95564,3,10.06.2013,CH01,00DH155F,10274,3700DHFS,1,15000,1,260,23.05.2014,7:12:30,,Data is not updated into GladMinds Server. Please contact GladMinds team
EX71205,MD2A11CZ1DCC96536,1,11.06.2013,CH01,00DH155J,11208,3700DHFS,1,2000,1,60,23.05.2014,7:12:32,,Data is not updated into GladMinds Server. Please contact GladMinds team
EX75670,MD2A11CZ3DCC96876,2,11.06.2013,CH01,00DH155G,10441,3700DHFS,1,8000,1,260,23.05.2014,7:12:37,,Data is not updated into GladMinds Server. Please contact GladMinds team
EX75772,MD2A11CZ3DCC98191,3,12.06.2013,CH01,00DH155J,10842,3700DHFS,1,15000,1,260,23.05.2014,7:12:37,,Data is not updated into GladMinds Server. Please contact GladMinds team
EX83300,MD2A11CZ7DCC09951,3,30.06.2013,CH01,00DH155J,11741,3700DHFS,1,15000,1,260,23.05.2014,7:12:48,,Data is not updated into GladMinds Server. Please contact GladMinds team
EX83605,MD2A11CZ7DCC88182,3,03.06.2013,CH01,00DH155J,11478,3700DHFS,1,15000,1,260,23.05.2014,7:12:52,,Data is not updated into GladMinds Server. Please contact GladMinds team
EX84524,MD2A11CZ7DCC99358,3,15.06.2013,CH01,00DH155J,10655,3700DHFS,1,15000,1,260,23.05.2014,7:12:54,,Data is not updated into GladMinds Server. Please contact GladMinds team
EX84932,MD2A18AZ3DRC93856,2,27.06.2013,PT11,00DZ103F,11608,3700DZFS,1,8000,1,260,23.05.2014,7:14:25,,Data is not updated into GladMinds Server. Please contact GladMinds team
EX85648,MD2A11CZ8DCC86778,2,03.06.2013,CH01,00DH155J,11447,3700DHFS,1,8000,1,260,23.05.2014,7:17:20,,Data is not updated into GladMinds Server. Please contact GladMinds team
EX86110,MD2A11CZ8DCC91902,3,07.06.2013,CH01,00DH155J,11750,3700DHFS,1,15000,1,260,23.05.2014,7:13:01,,Data is not updated into GladMinds Server. Please contact GladMinds team
EX86715,MD2A11CZ8DCC99174,1,15.06.2013,CH01,00DH155F,11476,3700DHFS,1,2000,1,60,23.05.2014,7:13:10,,Data is not updated into GladMinds Server. Please contact GladMinds team
EX87829,MD2A11CZ9DCC81864,3,01.06.2013,CH01,00DH155F,10335,3700DHFS,1,15000,1,260,23.05.2014,7:13:27,,Data is not updated into GladMinds Server. Please contact GladMinds team
EX93756,MD2A18AZ5DRC98265,3,24.06.2013,PT11,00DZ103W,10051,3700DZFS,1,15000,1,260,23.05.2014,7:14:34,,Data is not updated into GladMinds Server. Please contact GladMinds team
EY08006,MD2A18AZ9DRC03450,2,28.06.2013,PT11,00DZ103W,10625,3700DZFS,1,8000,1,260,23.05.2014,7:18:04,,Data is not updated into GladMinds Server. Please contact GladMinds team
EY08482,MD2A18AZ9DRC77533,3,11.06.2013,PT11,00DZ103F,10417,3700DZFS,1,15000,1,260,23.05.2014,7:15:27,,Data is not updated into GladMinds Server. Please contact GladMinds team
EY08769,MD2A18AZ9DRC80108,2,07.06.2013,PT11,00DZ103F,11523,3700DZFS,1,8000,1,260,23.05.2014,7:18:09,,Data is not updated into GladMinds Server. Please contact GladMinds team
EY12204,MD2A18AZXDRC02761,1,28.06.2013,PT11,00DZ104G,10238,3700DZFS,1,2000,1,60,23.05.2014,7:15:34,,Data is not updated into GladMinds Server. Please contact GladMinds team
EY13107,MD2A18AZXDRC80327,1,30.06.2013,PT11,00DZ104G,10561,3700DZFS,1,2000,1,60,23.05.2014,7:18:11,,Data is not updated into GladMinds Server. Please contact GladMinds team
EY13109,MD2A18AZXDRC80344,3,19.06.2013,PT11,00DZ104G,10185,3700DZFS,1,15000,1,260,23.05.2014,7:15:40,,Data is not updated into GladMinds Server. Please contact GladMinds team
EY13388,MD2A18AZXDRC82921,3,07.06.2013,PT11,00DZ104G,10322,3700DZFS,1,15000,1,260,23.05.2014,7:18:13,,Data is not updated into GladMinds Server. Please contact GladMinds team
EY14384,MD2A18AZXDRC92266,3,15.06.2013,PT11,00DZ103W,10103,3700DZFS,1,15000,1,260,23.05.2014,7:15:56,,Data is not updated into GladMinds Server. Please contact GladMinds team
EY14956,MD2A18AZXDRC97113,2,22.06.2013,PT11,00DZ104G,10422,3700DZFS,1,8000,1,260,23.05.2014,7:18:17,,Data is not updated into GladMinds Server. Please contact GladMinds team
EY16647,MD2A22EZ3DCC40808,3,11.06.2013,CH01,00PD012V,11638,3700PDFS,1,15000,1,260,23.05.2014,7:16:21,,Data is not updated into GladMinds Server. Please contact GladMinds team
EY17133,MD2A22EZ6DCB39035,3,19.06.2013,CH01,00PD014K,11509,3700PDFS,1,15000,1,260,23.05.2014,7:16:28,,Data is not updated into GladMinds Server. Please contact GladMinds team
EY17149,MD2A22EZ6DCC39202,2,25.06.2013,CH01,00PD012V,11541,3700PDFS,1,8000,1,260,23.05.2014,7:18:29,,Data is not updated into GladMinds Server. Please contact GladMinds team
EY18119,MD2A36FZ0DCC89807,3,09.06.2013,CH01,00JL025N,10411,3700JLFS,1,15000,1,260,23.05.2014,7:16:43,,Data is not updated into GladMinds Server. Please contact GladMinds team
EY18397,MD2A36FZ4DCB88303,1,17.06.2013,CH01,00JL025N,10209,3700JLFS,1,2000,1,60,23.05.2014,7:18:36,,Data is not updated into GladMinds Server. Please contact GladMinds team
EY18844,MD2A36FZXDCC89376,3,02.06.2013,CH01,00JL025M,10721,3700JLFS,1,15000,1,260,23.05.2014,7:16:53,,Data is not updated into GladMinds Server. Please contact GladMinds team
EY22692,MD2A37CZ5DPC58524,2,08.06.2013,PT01,00JZ083F,10489,3702JZFS,1,8000,1,260,23.05.2014,7:16:57,,Data is not updated into GladMinds Server. Please contact GladMinds team
EY25278,MD2A18AZXDRB68501,2,28.05.2013,PT11,00DZ103W,10497,3700DZFS,1,8000,1,260,23.05.2014,7:12:14,,Data is not updated into GladMinds Server. Please contact GladMinds team
EY49185,MD2A12DZ7ECB97533,3,17.05.2014,CH01,00DJ072V,11577,3700DJFS,1,15000,1,260,23.05.2014,7:18:56,,Data is not updated into GladMinds Server. Please contact GladMinds team
EY50559,MD2A12DZ4EWB02442,1,19.05.2014,WA01,00DJ075J,10369,3700DJFS,1,2000,1,60,23.05.2014,7:19:13,,Data is not updated into GladMinds Server. Please contact GladMinds team
EY50591,MD2A13EZ0ECB32415,3,19.05.2014,CH01,00DK042V,11333,3700DKFS,1,15000,1,260,23.05.2014,7:19:13,,Data is not updated into GladMinds Server. Please contact GladMinds team
EY51080,MD2A18AZ7EWB00577,1,19.05.2014,WA01,00DZ104G,10632,3700DZFS,1,2000,1,60,23.05.2014,7:19:20,,Data is not updated into GladMinds Server. Please contact GladMinds team
EY51823,MD2A14AZ9EWB07300,2,20.05.2014,WA01,00PA093C,11888,3700PAFS,1,8000,1,260,23.05.2014,7:19:39,,Data is not updated into GladMinds Server. Please contact GladMinds team
EY52173,MD2A37CZ6EWA02187,1,20.05.2014,WA01,00JZ083C,10473,3702JZFS,1,2000,1,60,23.05.2014,7:19:52,,Data is not updated into GladMinds Server. Please contact GladMinds team
EY52407,MD2A57AZ7EWA08478,3,20.05.2014,WA01,00PA133C,11206,3703PAFS,1,15000,1,260,23.05.2014,7:19:48,,Data is not updated into GladMinds Server. Please contact GladMinds team
EY52595,MD2A13EZ2ECB34005,3,21.05.2014,CH01,00DK042V,11272,3700DKFS,1,15000,1,260,23.05.2014,7:19:56,,Data is not updated into GladMinds Server. Please contact GladMinds team
EY68800,MD2A11CZ0DCC93837,3,08.06.2013,CH01,00DH155J,10060,3700DHFS,1,15000,1,260,23.05.2014,7:12:26,,Data is not updated into GladMinds Server. Please contact GladMinds team
EY70807,MD2A18AZ0DRC80272,2,06.06.2013,PT11,00DZ104G,10442,3700DZFS,1,8000,1,260,23.05.2014,7:14:02,,Data is not updated into GladMinds Server. Please contact GladMinds team
EY73378,MD2A11CZ2DCC96481,2,11.06.2013,CH01,00DH155J,10074,3700DHFS,1,8000,1,260,23.05.2014,7:12:32,,Data is not updated into GladMinds Server. Please contact GladMinds team
EY76119,MD2A18AZ1DRC89983,3,14.06.2013,PT11,00DZ103W,10157,3700DZFS,1,15000,1,260,23.05.2014,7:14:11,,Data is not updated into GladMinds Server. Please contact GladMinds team
EY79596,MD2A18AZ2DRC83321,3,26.06.2013,PT11,00DZ103W,10017,3700DZFS,1,15000,1,260,23.05.2014,7:14:13,,Data is not updated into GladMinds Server. Please contact GladMinds team
EY80378,MD2A18AZ2DRC90799,1,14.06.2013,PT11,00DZ103W,10208,3700DZFS,1,2000,1,60,23.05.2014,7:14:18,,Data is not updated into GladMinds Server. Please contact GladMinds team
EY83612,MD2A11CZ7DCC88277,2,03.06.2013,CH01,00DH155F,11276,3700DHFS,1,8000,1,260,23.05.2014,7:12:52,,Data is not updated into GladMinds Server. Please contact GladMinds team
EY83619,MD2A11CZ7DCC88361,3,03.06.2013,CH01,00DH155J,10448,3700DHFS,1,15000,1,260,23.05.2014,7:17:18,,Data is not updated into GladMinds Server. Please contact GladMinds team
EY84552,MD2A11CZ7DCC99618,2,15.06.2013,CH01,00DH155J,10232,3700DHFS,1,8000,1,260,23.05.2014,7:17:20,,Data is not updated into GladMinds Server. Please contact GladMinds team
EY84995,MD2A18AZ3DRC94263,3,19.06.2013,PT11,00DZ103W,10170,3700DZFS,1,15000,1,260,23.05.2014,7:14:25,,Data is not updated into GladMinds Server. Please contact GladMinds team
EY85691,MD2A11CZ8DCC87333,1,04.06.2013,CH01,00DH155G,11412,3700DHFS,1,2000,1,60,23.05.2014,7:17:20,,Data is not updated into GladMinds Server. Please contact GladMinds team
EY86267,MD2A11CZ8DCC93696,2,08.06.2013,CH01,00DH155J,10060,3700DHFS,1,8000,1,260,23.05.2014,7:13:04,,Data is not updated into GladMinds Server. Please contact GladMinds team
EY87844,MD2A11CZ9DCC86062,2,10.06.2013,CH01,00DH155F,10832,3700DHFS,1,8000,1,260,23.05.2014,7:13:27,,Data is not updated into GladMinds Server. Please contact GladMinds team
EY92209,MD2A12DZ3DCC01947,3,23.06.2013,CH01,00DJ075F,10675,3700DJFS,1,15000,1,260,23.05.2014,7:17:33,,Data is not updated into GladMinds Server. Please contact GladMinds team
EY92235,MD2A12DZ3DCC02208,2,12.06.2013,CH01,00DJ075J,10111,3700DJFS,1,8000,1,260,23.05.2014,7:13:38,,Data is not updated into GladMinds Server. Please contact GladMinds team
EY93938,MD2A18AZ5DWB00303,3,06.06.2013,WA01,00DZ104G,10816,3700DZFS,1,15000,1,260,23.05.2014,7:14:36,,Data is not updated into GladMinds Server. Please contact GladMinds team
EY97459,MD2A18AZ6DRC93088,2,17.06.2013,PT11,00DZ104G,10995,3700DZFS,1,8000,1,260,23.05.2014,7:14:41,,Data is not updated into GladMinds Server. Please contact GladMinds team
EY98566,MD2A18AZ6DWC04377,1,30.06.2013,WA01,00DZ104G,10202,3700DZFS,1,2000,1,60,23.05.2014,7:17:58,,Data is not updated into GladMinds Server. Please contact GladMinds team
EZ02467,MD2A18AZ7DWB15322,2,10.06.2013,WA01,00DZ103W,11526,3700DZFS,1,8000,1,260,23.05.2014,7:15:00,,Data is not updated into GladMinds Server. Please contact GladMinds team
EZ03283,MD2A18AZ8DRB71820,1,01.06.2013,PT11,00DZ103W,10234,3700DZFS,1,2000,1,60,23.05.2014,7:15:02,,Data is not updated into GladMinds Server. Please contact GladMinds team
EZ08051,MD2A18AZ9DRC03920,1,30.06.2013,PT11,00DZ103W,10624,3700DZFS,1,2000,1,60,23.05.2014,7:15:19,,Data is not updated into GladMinds Server. Please contact GladMinds team
EZ13403,MD2A14AZ3DPC80044,3,18.06.2013,PT01,00PA093B,10231,3700PAFS,1,15000,1,260,23.05.2014,7:13:47,,Data is not updated into GladMinds Server. Please contact GladMinds team
EZ13579,MD2A14AZ3DPC81775,3,24.06.2013,PT01,00PA095E,11341,3700PAFS,1,15000,1,260,23.05.2014,7:17:38,,Data is not updated into GladMinds Server. Please contact GladMinds team
EZ13995,MD2A18AZXDRC88783,2,13.06.2013,PT11,00DZ103W,10734,3700DZFS,1,8000,1,260,23.05.2014,7:15:50,,Data is not updated into GladMinds Server. Please contact GladMinds team
EZ14281,MD2A18AZXDRC91277,3,15.06.2013,PT11,00DZ103F,10443,3700DZFS,1,15000,1,260,23.05.2014,7:15:54,,Data is not updated into GladMinds Server. Please contact GladMinds team
EZ15377,MD2A18AZXDWC02227,3,17.06.2013,WA01,00DZ103W,10574,3700DZFS,1,15000,1,260,23.05.2014,7:16:08,,Data is not updated into GladMinds Server. Please contact GladMinds team
EZ16256,MD2A22EZ1DCC40760,3,10.06.2013,CH01,00PD014M,10209,3700PDFS,1,15000,1,260,23.05.2014,7:16:16,,Data is not updated into GladMinds Server. Please contact GladMinds team
EZ17042,MD2A22EZ5DCC40843,1,11.06.2013,CH01,00PD014M,10068,3700PDFS,1,2000,1,60,23.05.2014,7:18:26,,Data is not updated into GladMinds Server. Please contact GladMinds team
EZ17387,MD2A22EZ7DCC39595,3,09.06.2013,CH01,00PD012V,10210,3700PDFS,1,15000,1,260,23.05.2014,7:16:32,,Data is not updated into GladMinds Server. Please contact GladMinds team
EZ49132,MD2A52CZXDWC02176,3,29.06.2013,WA01,00PA143F,11683,3702PAFS,1,15000,1,260,23.05.2014,7:18:41,,Data is not updated into GladMinds Server. Please contact GladMinds team
