ASM Ticket No,Dealer Code,Dealer Name,City,Rg,tickets
47646,10679,SOCIETY MOTORS,KANPUR,UP,47646
47646,10471,BANDA TRACTORS BANDA,BANDA,UP,47646
47655,11638,SHISA AUTO,BARODA,GJ,#N/A
47655,10002,A.S.MOTORS,BARODA,GJ,#N/A
47655,10017,AMIN AUTO AGENCIES,ANAND,GJ,#N/A
47655,10063,AMIN MOTORS,NADIAD,GJ,#N/A
47655,10290,RAJENDRA MOTORS,GODHRA,GJ,#N/A
47655,10427,ADITYA BAJAJ,DAHOD,GJ,#N/A
47655,11086,G K BAJAJ,BHUJ-KUTCH,GJ,#N/A
47655,11151,SHIVAM BAJAJ,DABHOI,GJ,#N/A
47655,11465,G K BAJAJ,GANDHIDHAM,GJ,#N/A
47661,10008,AUTO INDIA,SANGLI,MAH,#N/A
47661,10725,FUTURISTIC MOTOR DEALER PVT LTD,KUDAL,MAH,#N/A
47661,11763,KADE AUTOMOBILES,SOLAPUR,MAH,#N/A
47661,10760,ASHWINI MOTORS PVT LTD,CHIPLUN,MAH,#N/A
47661,10902,AHERKAR AUTOMOBILES,SOLAPUR,MAH,#N/A
47661,11266,RAJYOG AUTOMOBILES,KARAD,MAH,#N/A
47661,11267,PANDURANG AUTOMOTIVES,PANDHARPUR,MAH,#N/A
47661,11331,KANSE AUTOLINES,SATARA,MAH,#N/A
47661,11577,KADAM  AUTOLINES,KOLAHPUR,MAH,#N/A
47661,11742,MAHALAXMI BAJAJ,BARSHI,MAH,#N/A
47661,11794,BADSHAH  BAJAJ,ICHALKARANJI,MAH,#N/A
47661,11802,KANASE AUTOMOBILES,MIRAJ,MAH,#N/A
47869,10257,PAGARIYA AUTO CENTRE,JALGAON,MAH,#N/A
47869,10432,WASAN & SONS,NASHIK,MAH,#N/A
47869,11206,ROYAL MOTORS,DHULE,MAH,#N/A
47869,11216,MAYUR WHEELS,MALEGAON,MAH,#N/A
47869,11411,GIRIRAJ ENTERPRISES,SANGAMNER,MAH,#N/A
47869,11431,HERAMMBA AUTO,CHALISGAON,MAH,#N/A
47869,11543,WASAN & SONS,NASHIK,MAH,#N/A
47869,11690,RUSHI AUTOMOBILES,NANDURBAR,MAH,#N/A
47869,12029,SHOURYA BAJAJ,NIPHAD,MAH,#N/A
55903,11803,FORTUNE BAJAJ,SURAT,GJ,#N/A
55903,11920,SHIVAM  BIKE,SURAT,GJ,#N/A
55903,11057,MAHALAXMI MOTORS,NAVSARI,GJ,#N/A
55903,10106,AAKAR MOTORS,VAPI,GJ,#N/A
55903,10971,GUJARAT MOTORS PVT LTD,SURAT,GJ,#N/A
55903,11171,KU & CO,BHARUCH,GJ,#N/A
55903,11433,KENA AUTOMOBILES,ANKLESHWAR,GJ,#N/A
47881,11515,VIHAAN-YASHREE AUTOMOBILES,MEERUT,UP,#N/A
47881,10111,DEVENDRA AUTO,BIJNOR,UP,#N/A
47881,10121,ESPEE ENTERPRISES INDIA,HARDWAR,UT,#N/A
47881,10348,SHIVA SCOOTER AGENCY,GHAZIABAD,UP,#N/A
47881,10398,VIKRANT AUTOMOBILES,MEERUT,UP,#N/A
47881,10418,SUMAN AUTOS,NOIDA,UP,#N/A
47881,10466,ESPEE AUTOMOBILES,ROORKEE,UT,#N/A
47881,10645,JAIN AUTO TRADERS,BARAUT,UP,#N/A
47881,10723,SHIVA SCOOTER AGENCY,SAHIBABAD,UP,#N/A
47881,10832,DEVENDRA AUTO,SAHARANPUR,UP,#N/A
47881,11469,DEVENDRA AUTO,DHAMPUR,UP,#N/A
48238,11867,GALLOPS AUTOMOBILES PRIVATE LIMITED,AHMEDABAD,GJ,#N/A
48238,11849,APCO MOTOLINK PVT LTD,AHMEDABAD,GJ,#N/A
48238,11003,BANSARI AUTOMOBILES PVT LTD,GANDHINAGAR,GJ,#N/A
48238,10000,AMIN AUTOMOBILES,AHMEDABAD,GJ,#N/A
48238,10130,GOODLUCK AUTOMOBILES PVT. LTD.,MEHSANA,GJ,#N/A
48238,10222,MANAN AUTOLINK PVT LTD,AHMEDABAD,GJ,#N/A
48238,11004,SAKAL AUTO,HIMATNAGAR,GJ,#N/A
48238,11282,HET AUTO,AHMEDABAD,GJ,#N/A
48238,11332,ADITYA AUTO,AHMEDABAD,GJ,#N/A
48238,11549,PARTH AUTOLINK,KADI,GJ,#N/A
49783,10139,GEMS AUTOMOBILES LTD.,CHINCHWAD-PUNE,MAH,#N/A
49783,10347,SAI SERVICE STATION  LTD.,PHUGEWADI PUNE,MAH,#N/A
49783,10369,SAI SERVICE STATION LTD,PUNE,MAH,#N/A
49783,10632,GEMS AUTOMOBILES PVT LTS.,PUNE,MAH,#N/A
49783,10935,SAI SERVICE STATION LTD.,KOTHRUD PUNE,MAH,#N/A
49783,10998,GEMS AUTOMOBILES,PUNE,MAH,#N/A
49783,11421,SONAI BAJAJ,INDAPUR,MAH,#N/A
49783,11569,SNK BAJAJ,PUNE,MAH,#N/A
49783,11581,KRISHNA MOTORS,PUNE,MAH,#N/A
49783,25819,SHRI SEVA SERVICES [SCOOTER DIVN),PUNE,MAH,#N/A
49783,11962,MORAYA AUTORIDERS PVT LTD,PUNE,MAH,#N/A
49783,12061,KRISHNA AUTOMOBILES,PUNE,MAH,#N/A
55942,10187,K.P.MUTHA SALES & SERVICE,PARBHANI,MAH,#N/A
55942,10268,PAGARIYA AUTO CENTRE,AURANGABAD,MAH,#N/A
55942,10287,RAJYOG BAJAJ,LATUR,MAH,#N/A
55942,10396,UJWAL ENTERPRISES (INDIA) PVT.LTD,NANDED,MAH,#N/A
55942,10495,AMBRISH AUTOMOBILES,JALNA,MAH,#N/A
55942,10947,SWASTIK BAJAJ,BEED,MAH,#N/A
55942,11048,ASHOK AGRO INPUTS PVT LTD,SILLOD,MAH,#N/A
55942,11381,ASHOK AGRO INPUTS PVT LTD,BULDHANA,MAH,#N/A
55942,11507,RAJYOG  BAJAJ,OSMANABAD,MAH,#N/A
55942,11278,GOENKA MOTORBIKES,AKOLA,MAH,#N/A
55942,11718,TIRUPATI MOTORS,WASHIM,MAH,#N/A
55534,11736,SWASTIK AUTO AGENCIES PVT LTD,JAMSHEDPUR,JH,#N/A
55534,10122,FAIRDEAL AUTOMOBILES PVT.LTD.,JAMSHEDPUR,JH,#N/A
55534,10275,RANJU AUTOMOBILES,BOKARO,JH,#N/A
55534,10928,TORRENT INDUSTRY PRIVATE LIMITED,RANCHI,JH,#N/A
55534,11523,FLAIR MOTORS PVT LTD,DHANBAD,JH,#N/A
55534,11524,ROYAL AUTOMOBILES,CHAIBASA,JH,#N/A
55534,11579,N R AUTOMOBILES,BOKARO,JH,#N/A
55534,11586,ABJ  BAJAJ,GODDA,JH,#N/A
55534,11671,ANKIT  ENTERPRISES,GUMLA,JH,#N/A
33772,11454,SAI ANJANA MOTORS,KOTHAGUDEM,TG,#N/A
33772,11503,M S MOTORS,RAMAGUNDEM,TG,#N/A
33772,10286,STANDARD AUTOMOBILES,KARIMNAGAR,TG,#N/A
33772,10492,MAHI MOTORS,MANCHERIAL,TG,#N/A
33772,10403,VENKATA RAMANA AUTOMOBILES,KHAMMAM,TG,#N/A
55509,11838,MOHANA SAI,ELURU,AP,#N/A
55509,10367,SRI KRISHNA MOTOR & ENGG.WORKS,VIZIANAGARAM,AP,#N/A
55509,10408,VARUN MOTORS,VISHAKHAPATNAM,AP,57252
55509,10490,SAI GAYATRI AUTOMOTIVE PVT LTD,SRIKAKULAM,AP,#N/A
55509,10933,SRI VIJAYALAKSHMI AUTOMOBILES,GUNTUR,AP,#N/A
55509,11031,SAI MOTOR PLAZA,KAKINADA,AP,#N/A
55509,11461,DJM MOTORS,RAJAHMUNDRY,AP,#N/A
55509,11497,MAHA MOTORS,GUNTUR,AP,#N/A
55509,11498,SAI MOTOR PLAZA,AMALAPURAM,AP,#N/A
55509,11548,VARUN MOTORS,BHIMAVARAM,AP,57252
55509,11651,VARUN MOTORS,VISHAKAPATNAM,AP,57252
56225,10022,ARAVALI AUTOMOBILES PVT.LTD.,ALWAR,RJ,#N/A
56225,11750,ALWAR BAJAJ,ALWAR,RJ,#N/A
56225,11764,VIJAY MOTORS,BEHROR,RJ,#N/A
56225,10024,ANJITA ENTERPRISES PVT.LTD.,AJMER,RJ,#N/A
56225,11296,CHARBHUJA  AUTO PVT LTD.,AJMER,RJ,#N/A
56225,11631,SHREE GANPATI ATUOWHEELS PVT LTD,BEAWAR,RJ,#N/A
56225,10761,SANDEEP MOTORS (P) LTD.,BHILWARA,RJ,#N/A
56225,10117,BHARAT TRACTORS PVT. LTD.,BIKANER,RJ,#N/A
56225,11696,GANPATI AUTOMOBILES,BIKANER,RJ,#N/A
56225,11468,J M ENTERPRISES PRIVATE LIMITED,JHUNJHUNU,RJ,#N/A
56225,10162,J.M.ENTERPRISES,SIKAR,RJ,#N/A
54398,11843,BALAMURUGA MOTORS,MADURAI,TN,#N/A
54398,10664,RAJARAJAN MOTORS,PONDICHERRY,PY,#N/A
54398,11966,ACHINTYA AUTOMOBILES,METTUPALAYAM,TN,#N/A
54398,10057,JAIKRISHNAA AUTO PVT LTD.,COIMBATORE,TN,#N/A
54398,10591,JAI AUTOMOBILES,CHENNAI,TN,#N/A
54398,10167,JAI AUTOS,CHENNAI,TN,#N/A
54398,10491,SRI JAI AUTOS PVT LTD,CHENNAI,TN,#N/A
54398,10836,AAKASH AUTOMOBILES PVT LTD,PONDICHERRY,PY,#N/A
54398,11177,R. K. MOTORS,MADURAI,TN,#N/A
54398,11386,SRI AUTOS,COIMBATORE,TN,#N/A
54398,11562,KHIVRAJ AUTOMOBILES & INFRASTRUC-,CHENNAI,TN,#N/A
54398,11740,SAI MOTO CORPS,COIMBATORE,TN,#N/A
54398,11851,POWER BIKES,CHENNAI,TN,#N/A
56022,10066,AUTO WHEELERS,TINSUKIA,AS,#N/A
56022,10076,CLASSIC AUTO CENTRE,SILCHAR,AS,#N/A
56022,10105,BANERJEE AUTO CORPORATION,DURGAPUR,WB,#N/A
56022,10209,MANIPUR MOTORS,IMPHAL,MN,#N/A
56022,10321,STANDARD MOTOR WORKS,AIZWAL,MZ,#N/A
56022,10484,BANERJEE AUTO CORPORATION,SIURI,WB,#N/A
56022,10990,PULU BAJAJ,ITANAGAR,ARP,#N/A
56022,11020,SALIGRAM BRIDHICHAND & COMPANY,DIBRUGARH,AS,#N/A
56022,11517,A H AUTO WORLD,NORTH NAKHIMPUR,AS,#N/A
56022,11587,AKAASH  BAJAJ,JORHAT,AS,#N/A
56022,10149,HIGHWAY BAJAJ,JORHAT,AS,#N/A
54559,11287,ABHINANDAN MOTORS PVT.LTD.,HYDERABAD,TG,#N/A
54559,11277,SELECT AUTOMOBILES,HYDERABAD,TG,#N/A
54559,10452,DECCAN AUTOMOBILES LTD,SECUNDERABAD,TG,#N/A
54559,11261,HAROON MOTORS,MAHABUBNAGAR,TG,54559
54560,10338,SUSEE AUTO SALES AND,MADURAI,TN,#N/A
54560,10341,SUSEE AUTO,TIRUNELVELI,TN,#N/A
54560,10819,SUSEE AUTO,TIRUNELVELI,TN,#N/A
54570,10001,ARUN AUTOMOBILES,NAGPUR,MAH,#N/A
54570,10177,KUSHAL AUTO PVT. LTD.,AMRAVATI,MAH,#N/A
54570,10389,SHRINIWAS MOTORS,WARDHA,MAH,#N/A
54570,10447,RAMANI MOTORS,GONDIA,MAH,#N/A
54570,10753,HIMALAYA BAJAJ,YAVATMAL,MAH,#N/A
54570,11008,SARBANI MOTORS,CHANDRAPUR,MAH,#N/A
54570,11214,PATNI AUTOMOBILES,NAGPUR,MAH,#N/A
54570,11215,PATNI AUTOMOBILES,BUTIBORI-DIST -NAGPUR,MAH,#N/A
